Phe,random_id,fnumber,cvid,pearson
DTT,Random_0,2000,cv19,0.526682713028552
DTT,Random_0,2000,cv20,0.625444149701695
DTT,Random_0,2000,cv21,0.608881946094729
DTT,Random_0,2000,cv22,0.618505242529579
DTT,Random_0,2000,cv23,0.589855821713553
DTT,Random_0,2000,cv24,0.586119843095058
DTT,Random_0,2000,cv25,0.620158424514754
DTT,Random_0,2000,cv26,0.61180874988156
DTT,Random_0,2000,cv27,0.576773588730126
DTT,Random_0,2000,cv28,0.602356456118856
DTT,Random_0,2000,cv29,0.624245330274839
DTT,Random_0,3000,cv0,0.622507593094585
DTT,Random_0,3000,cv3,0.661473832632314
DTT,Random_0,3000,cv1,0.616075411613592
DTT,Random_0,3000,cv2,0.571912448703171
DTT,Random_0,3000,cv4,0.606805937973524
DTT,Random_0,3000,cv5,0.574598518071744
DTT,Random_0,3000,cv6,0.562828426819021
DTT,Random_0,3000,cv7,0.640092386191372
DTT,Random_0,3000,cv8,0.599342716528283
DTT,Random_0,3000,cv9,0.559662601087523
DTT,Random_0,3000,cv10,0.597195531255462
DTT,Random_0,3000,cv11,0.569353910535719
DTT,Random_0,3000,cv12,0.648667936789399
DTT,Random_0,3000,cv13,0.620814216385635
DTT,Random_0,3000,cv14,0.647788691755114
DTT,Random_0,3000,cv15,0.57329580310875
DTT,Random_0,3000,cv16,0.646638789729112
DTT,Random_0,3000,cv17,0.599624775493131
DTT,Random_0,3000,cv18,0.62883830832633
DTT,Random_0,3000,cv19,0.567476099379819
DTT,Random_0,3000,cv20,0.651166954779536
DTT,Random_0,3000,cv21,0.59923675121748
DTT,Random_0,3000,cv22,0.613005389682992
DTT,Random_0,3000,cv23,0.585395209287898
DTT,Random_0,3000,cv24,0.591840916129275
DTT,Random_0,3000,cv25,0.606723367790789
DTT,Random_0,3000,cv26,0.605962177283129
DTT,Random_0,3000,cv27,0.585351619174875
DTT,Random_0,3000,cv28,0.614507234148654
DTT,Random_0,3000,cv29,0.629432484289161
DTT,Random_0,4000,cv0,0.616398346777836
DTT,Random_0,4000,cv3,0.651602831675919
DTT,Random_0,4000,cv1,0.617506397475807
DTT,Random_0,4000,cv2,0.591402837188153
DTT,Random_0,4000,cv4,0.61143401871477
DTT,Random_0,4000,cv5,0.569026310886808
